Alert,Description,Date
"Starting August 1, 2023 Generators Only in Loop C","Starting August 1, 2023 generator use will only be allowed in Loop C of the Fruita Campground.",2023-03-20 15:04:23.0
Keys View Road Afternoon Closures,Keys View Road often closes in the afternoon due to traffic and road conditions and frequently remains closed through sunset.,2023-03-20 13:49:52.0
Steel Creek Ranger Station Closed,The Steel Creek Ranger Station is closed at this time due to inadequate staffing levels. It will be re-opened later this year as staffing allows. Call the Tyler Bend Visitors Center at 870-439-2502 for updates.,2023-03-20 10:15:05.0
Hazardous conditions along the tops and bases of coastal bluffs.,"In 2015, Arch Rock collapsed. In 2017, part of the bluff at Tomales Point collapsed. In 2023, sections of coastal bluffs throughout the park collapsed. Bluff tops may be unstable and additional collapses will & do occur. Stay on designated trails.",2023-03-20 09:40:54.0
Tree Removal Work Is Occurring for Multiple Construction Projects at the South Rim Until Early April,Most of the work will be in administrative or residential areas and some will occur near Trailer Village and the Greenway Trail that connects to the town of Tusayan. Please adhere to any signs and construction flaggers during intermittent closures.,2023-03-17 19:39:21.0
Park Phone Number has Changed to 912-219-4233,The park phone number is now 912-219-4233. The old number will not be monitored and will direct callers to the new number. Thank you for your patience.,2023-03-17 12:48:42.0
"Construction at Rialto Beach March 20 to April 10, 2023","During replacement of the toilets at Rialto Beach, there will be changes to parking availability and accessibility at Rialto Beach. The Rialto Beach area will be closed to the public on March 28, 2023.",2023-03-17 12:05:54.0
Visitor Center moved to Bishop Reverdy C. Ransom Memorial Library at Payne Theological Seminary,"As of 10/31/2021, all visitor services are now operating from the Bishop Reverdy C. Ransom Memorial Library on the Payne Theological Seminary campus due to the renovation of the historic Young house. House tours will NOT be available for the duration",2023-03-17 10:28:52.0
Conditions in Yosemite are very snowy,"While several miles of paved pedestrian paths in Yosemite Valley are plowed, all hiking trails are covered in snow. Wear waterproof boots and traction devices as even plowed paths can be icy. Hiking on snow-covered trails is not recommended.",2023-03-16 20:12:22.0
Possible Rabies Advisory,"Reports of raccoons acting strangely around visitors at Lock 34 (MP 61.5). Do not approach or touch wildlife. If visitors see sick or erratically behaving wildlife, call the park's 24-hour emergency Dispatch Center at 866-677-6677.",2023-03-16 18:57:05.0
High Water in Lehman Caves,"Visitors touring Lehman Caves are recommended to bring rain boots/rubber boots for the tour. Due to higher than normal snowpack that is starting to melt, several places along the tour route have standing water that is several inches deep.",2023-03-16 17:05:23.0
Potential for short delays on Volcano Road starting late April 2023,"Due to road repairs, there may be short, single lane safety closures and flaggers at any time Monday - Thursday. Full road closures are not anticipated. No closures or delays will occur Friday-Sunday.",2023-03-16 13:18:16.0
Kentucky Boyhood Home at Knob Creek Unit Visitor Center has Seasonal Hours,The Knob Creek Visitor Center and Knob Creek Cabin are closed for winter season. The grounds at the Kentucky Boyhood Home at Knob Creek Unit are open from sunrise to sunset. The Visitor Center at the Birthplace Unit and Symbolic Cabin are open year round.,2023-03-16 12:03:41.0
Bridge Trail Hiking Trail-Temporary Closure,"Due to flooding and the resulting damage to the trail, the Bridge Trail Hiking trail is closed until further notice. This trail leads from the Jacksonville State University Canyon Center to Little River Falls Parking Lot. Little River Falls is still open.",2023-03-16 10:29:18.0
Don't Forget Your Credit or Debit Card! Amistad Visitor Center Is Cashless.,"As you pack for Spring Break, don't forget your credit/debit card to buy souvenirs and more. For your convenience, camping and lake use fees can be paid with your card at fee machines right in the campground where you find your site and near boat ramps.",2023-03-15 23:53:47.0
Toxic Cyanobacteria in the Virgin River and the streams of Zion National Park,Do not submerge your head in or filter drinking water from still or moving water.,2023-03-15 20:31:23.0
Narrows closed to hiking and canyoneering,The Narrows and all routes that exit through it are closed until the volume of water is below 150 cubic feet per second (CFS) for 24 hours. Riverside Walk (the paved trail that starts at the Temple of Sinawava) is open.,2023-03-15 20:30:37.0
"Thursday, April 6th, 2023",The Home of Franklin D. Roosevelt and the Vanderbilt Mansion will be closed from 9:00 AM to 1:00 PM.,2023-03-15 16:33:45.0
"Thursday, April 6th, 2023",The Home of Franklin D. Roosevelt and the Vanderbilt Mansion will be closed from 9:00 AM to 1:00 PM.,2023-03-15 16:32:49.0
Dogs Not allowed on ocean beaches in Jamaica Bay and Sandy Hook March 15- Sept. 15,"Dogs are not allowed on ocean beaches at Sandy Hook between March 15 through September 15. Dogs are not allowed on the ocean beaches at Jacob Riis Park, Fort Tilden, Breezy Point Tip and at the bayside of Breezy Point between March 15 through September 15",2023-03-15 15:55:13.0
Phone Outage: Contact Information,"To reach a ranger, visitors should call 301-714-2238 or email choh_information@nps.gov, due to maintenance on the park's phone system from March 15 and April 1.",2023-03-15 14:17:59.0
Drinking Water Not Available at Rush Campground,"Starting March 15, water will not be available at Rush Campground. Please plan accordingly if you are planning to camp at Rush or utilize the water spigot before embarking into the Lower Wilderness.",2023-03-14 16:25:47.0
Picnic Area Parking Lot Closed,The Picnic Area Road at George Washington Birthplace National Monument is closed for resurfacing. The Picnic Area remains open and can be accessed via the Nature Trail.,2023-03-14 15:38:33.0
Old Courthouse Closed for Renovations,"The Old Courthouse at Gateway Arch National Park is undergoing renovations as part of the $380-million CityArchRiver project, which is the largest public-private partnership in the history of the National Park Service. It is closed to all visitors.",2023-03-14 13:01:16.0
"Too Many Visitors, Not Enough Parking","Spring Break, busiest time of the year, begins March 4. With limited parking in the park, we recommend you plan to come before 10:30 AM/after 2 PM to reduce the risk of being told to leave and return later because there are no available parking spaces.",2023-03-14 12:37:20.0
Phone system is down,"Valles Caldera's phone system is currently down. For park information, please use vall_info@nps.gov or call 505-670-1612.",2023-03-14 10:37:39.0
Sugar Run & Chadwell Gap Trails Closed to Horses,Sugar Run Trail and Chadwell Gap Trail are both closed to HORSES until further notice due to fallen trees.,2023-03-13 16:40:23.0
The Old Ingraham Highway Trail is closed for construction (not Main Park Road or walking trails),"Old Ingraham Hwy trail (not SR 9336) will be closed south of the Hidden Lake turnoff from Jan. 9-May 31 for construction related to the Taylor Slough Flow Improvements Project, which will partially restore historic water flow patterns in Taylor Slough.",2023-03-13 15:47:54.0
"Lava Point Road, Overlook, and Campground closed","The Lava Point area is closed due to snow. This is a regular, seasonal closure, and we will remove this alert when snow melts.",2023-03-13 12:02:02.0
"Some trails in the Presidio closed to dogs for coyote pupping season starting Monday, Mar. 13","To reduce the potential for coyote/dog conflict, beginning on Monday, March 13, the Presidio Trust is proactively closing large sections of the Park Trail and the Bay Area Ridge Trail to dog walking (see link below).",2023-03-10 19:02:38.0
Burn Ban in Effect Across Collier County,"Due to the ongoing Collier County Burn Ban, no open burning will be allowed in campgrounds at this time. Only smoke in areas free of combustible fuels and ensure cigarette is disposed of properly. Caution should be used when operating equipment",2023-03-10 18:33:05.0
"Temporary Closure of Bandelier's Tsankawi Unit Begins April 3, 2023, Rest of Park Remains Open",Bandelier National Monument's Tsankawi Unit will temporarily close on April 3rd due to extensive construction work.,2023-03-10 17:53:58.0
Wheeler Peak Scenic Drive Closure @ Upper Lehman,"Due to ice and snow, the Wheeler Peak Scenic Drive is closed at Upper Lehman Creek Campground. Weather is highly variable in the park.",2023-03-10 16:58:11.0
COVID-19,"Big Horn County's transmission rate for COVID-19 is now medium. Masks are no longer required in the museum or bookstore, but masks will be provided to those who do not have one and wish one.",2023-03-10 16:47:38.0
Phone out of order,"The Theodore Roosvelt Birthplace National Historic Site telephone is, currently, down. If you have any questions about our site please reach out to us through the contact link on our webpage or DM us through Facebook",2023-03-10 09:40:42.0
Long Ave closed to vehicles most weekdays from 3/15 to 7/31,"Staff will be repairing a stairway that links West Bluff to Battery East. Stairs will be closed 7:30AM-5:00PM, Mon-Thurs through 7/31. Long Ave, will close to vehicle traffic during that time to allow for a safe detour. See link for details.",2023-03-09 18:03:43.0
Limited Public Access Until April 21,Most park roads are closed to public vehicle travel and services are limited. Check the current roads status before traveling to the park.,2023-03-09 16:41:56.0
Vehicle Break-Ins,"Saguaro National Park is an urban park. Vehicle break-ins have occurred at trailheads around the park. Don't make yourself a target. Leave valuables at home, secure your vehicle, and report any suspicious activity.",2023-03-09 13:22:42.0
