Alert,parkCode,Description,Date,Park Name
Park Operations During Spring Break Feb. 26 - May 13.,tuzi,"From Feb. 26 - May 13 the park will be in Spring Break Operations. Please be sure to plan for long lines, long waits and parking lots to be full. We ask the public to not park parallel, have passes and IDs ready, as well as exact change for entrance fee.",2023-02-25 10:59:51.0,Tuzigoot National Monument
Masks are currently NOT REQUIRED when visiting Tuzigoot National Monument,tuzi,Requirements are dependent upon Community Level and based on data provided by the Centers for Disease Control & Prevention (CDC) for counties where the park is located. Yavapai County is currently LOW and Masks are NOT REQUIRED inside Federal Buildings.,2022-12-16 12:15:43.0,Tuzigoot National Monument
"Winter Storms and Impassable Road Conditions (Updated April 3, 2023)",para,"RAIN AND SNOW ON THE ARIZONA STRIP. Roads impassable above 5,000ft due to deep mud, snow, and ice. Mt. Trumbull, Whitmore Canyon, Twin Point, etc can't be reached safely. Roads to Pakoon Springs and Tassi Ranch require crossing flowing water in washes.",2023-04-03 16:24:46.0,Grand Canyon-Parashant National Monument
Grand Canyon-Parashant National Monument is not part of Grand Canyon National Park,para,Grand Canyon National Park is only part of the 277 mile-long Grand Canyon. GC-Parashant starts on the north rim of the Grand Canyon west of Toroweap and stretches to the Nevada line. Click 'More' for the Grand Canyon National Park website.,2023-03-28 14:53:46.0,Grand Canyon-Parashant National Monument
Looking For A Grand Canyon View? A Warning About Cell Phone Navigation App Directions,para,"Cell phone map apps are directing people typing in ""Grand Canyon"" into Parashant. Parashant is unpaved for 4x4s vehicles, not cars, minivans, etc. No services or cell phone coverage here. See nps.gov/grca for roads to paved Grand Canyon viewpoints.",2023-03-28 14:34:49.0,Grand Canyon-Parashant National Monument
Requirements to drive a UTV (side-by-side) in Parashant if it is licensed in another State,para,"To use a UTV on the NPS section of the monument and Mohave County roads monument-wide, it must be registered and meet Arizona street legal (on-highway use) requirements including appropriate insurance and mandatory equipment. See More for Arizona regs.",2020-04-09 16:56:52.0,Grand Canyon-Parashant National Monument
Trees down on trails,cuga,"There are multiple trees down on trails, including Sugar Run and Object Lesson Road. Use caution.",2023-04-03 15:42:25.0,Cumberland Gap National Historical Park
Sugar Run & Chadwell Gap Trails Closed to Horses,cuga,Sugar Run Trail and Chadwell Gap Trail are both closed to HORSES until further notice due to fallen trees.,2023-03-13 16:40:23.0,Cumberland Gap National Historical Park
Upcoming Civil War Trail Closure-North Loop,peco,"Starting on April 17, 2023, the North Loop of the Glorieta Pass Civil War Battlefield Trail will close to all visitors for maintenance of seven bridges. The South loop will remain open. Maintenance is expected to take two months.",2023-04-03 15:41:45.0,Pecos National Historical Park
"Uber, Lyft, and other ""Taxi"" Services",peco,"While Pecos is close to Santa Fe and Las Vegas, services like Uber and Lyft may have limited availability to and from the park. If you are able to take an Uber or Lyft, please make sure you have plans to be picked up before being dropped off at Pecos.",2020-01-08 17:21:40.0,Pecos National Historical Park
Cave Tour Reservations Available & Strongly Recommended,jeca,Advance cave tour reservations are available on recreation.gov through May 31st. June reservations will become available the first of May. The reservations close at noon the day before. Reservations are the best way to ensure tickets for your group.,2023-04-03 15:11:57.0,Jewel Cave National Monument
Masks Not Required,jeca,Masks are currently not required as Custer County is at a low transmission level for COVID-19.,2022-10-20 17:51:02.0,Jewel Cave National Monument
Appropriate Footwear Required for Cave Tours,jeca,"Visitors are required to wear completely enclosed shoes if participating in a cave tour, like tennis shoes, sneakers or hiking boots. Any type of sandals or shoes with any openings are NOT acceptable.",2022-06-22 15:55:00.0,Jewel Cave National Monument
Pet Restrictions in Effect March 15 through Labor Day,fiis,Dogs and other pets are not allowed in the Otis Pike Fire Island High Dune Wilderness or on any of Fire Island's federally owned oceanfront beaches from March 15 through Labor Day to help protect threatened and endangered beach-nesting shorebirds.,2023-04-03 14:46:27.0,Fire Island National Seashore
The Fire Island Lighthouse Tower will be closed until further notice,fiis,,2023-03-05 09:22:37.0,Fire Island National Seashore
COVID-19 Update: Masks optional within federal buildings.,fiis,"The CDC has recently reduced the COVID-19 Community Levels for Suffolk County to “Medium”. In accordance with the NPS’s masking guidance policy, masks are now optional inside all federal buildings regardless of vaccination status.",2023-01-23 15:29:46.0,Fire Island National Seashore
Eastern access to Backcountry Camping is closed,fiis,Accessing Backcountry Camping through the Otis Pike Wilderness is temporarily closed due to beach conditions. The park will reassess and update accordingly.,2023-01-05 08:36:24.0,Fire Island National Seashore
Fire Island Lighthouse Maintenance,fiis,The northeast corner of the Lighthouse Terrace will not be accessible due to ongoing maintenance in the area. The Keepers Quarters Museum and Gift Shop remain available.,2022-12-22 12:49:35.0,Fire Island National Seashore
William Floyd Estate,fiis,The Old Mastic House is closed for renovations until further notice.,2022-12-05 15:25:39.0,Fire Island National Seashore
Possession or use of marijuana inside Fire Island National Seashore is prohibited.,fiis,"While New York provides for regulated possession and use of marijuana, it remains an illegal drug under federal law and enforced within National Park units.",2021-04-12 16:18:47.0,Fire Island National Seashore
Shuttle drivers needed! Apply now!,carl,Carl Sandburg Home seeks motor vehicle operators to drive the park’s 5-7 passenger wheelchair accessible visitor shuttle. All training will be provided. Applications accepted through April 7. Click to learn more and how to apply.,2023-04-03 14:11:47.0,Carl Sandburg Home National Historic Site
Sandburg Home Visitor Center/Park Store and Tours Open Saturday and Sunday,carl,"The Visitor Center/Park Store is open Sat and Sun from 10am-4pm. Tours are available at 11am, 1pm, 2pm. Tour reservations strongly recommended at Recreation.gov. Day-of-visit tickets rarely available.",2023-01-04 16:32:10.0,Carl Sandburg Home National Historic Site
Pedestrian Bridge at Front Lake is Closed,carl,"The pedestrian bridge at the main entrance to the park is closed. During the closure, visitors must walk an additional 0.4 mile around Front Lake, and then 1/3 mile up a hill to the Sandburg Home and farm. For accessibility options, call 828-707-8125.",2023-01-04 16:30:57.0,Carl Sandburg Home National Historic Site
Sections of moat wall closed to snorkeling,drto,"From April to June, approximately one-half of the moat wall will be closed to snorkeling during coral relocation work. Signs will be posted and closed areas will be marked with swim lanes. Beaches and moat walkway remain open.",2023-04-03 13:29:58.0,Dry Tortugas National Park
Closures on parts of Garden Key and Loggerhead Key,drto,"Until further notice, all finger piers and slips, and the dinghy beach between the finger piers and the South Coaling Dock are closed on Garden Key. On Loggerhead Key, the Historic Preservation/Adaptive Use zone around the lighthouse is closed.",2023-02-02 12:54:45.0,Dry Tortugas National Park
Migrant Notice,drto,"Like elsewhere in the Florida Keys, we have recently seen an increase in Cuban migrants arriving by boat from Cuba and landing on the islands of Dry Tortugas National Park. You may observe migrant landings at the park and visitor areas may be impacted.",2022-12-21 13:55:40.0,Dry Tortugas National Park
Bait boxes in the park contain rat poison.,drto,Dry Tortugas staff are carrying out a Rat Management Plan to prevent reintroduction of invasive rats. Rodenticide is harmful to pets if ingested. Keep all pets on leashes and contact park staff if you see rats or suspect your pet has ingested rodenticide.,2022-03-03 15:12:55.0,Dry Tortugas National Park
Garden Key Harbor Light,drto,Vessel operators - the Garden Key Harbor Light is undergoing repairs and is extinguished. At this time it is unknown when the light will again be illuminated.,2017-08-17 14:16:47.0,Dry Tortugas National Park
Traffic delays,peri,A contractor is working on the waterline near the tour road entrance. Visitors should expect short traffic delays and/or one lane traffic near the location.,2023-04-03 11:32:16.0,Pea Ridge National Military Park
Fuel Unavailable,shen,"Pumps at Big Meadows Wayside, the Park's only gas station, are closed for upgrades. Fuel will not be available inside the Park. Please arrive with a full tank before you enter.",2023-04-03 11:19:01.0,Shenandoah National Park
South River & Dundo Picnic Grounds and Campground Water Alert,shen,Water testing at South River and Dundo Picnic Grounds and Dundo Campground shows water may contain microbial contamination. Water should NOT be consumed or used for washing dishes and hands without boiling it first.,2023-03-27 10:39:21.0,Shenandoah National Park
Thornton Gap Entrance Station,shen,"Due to damage caused by a vehicle fire, cash cannot currently be accepted at this entrance station. Credit, debit, and electronic payments only. Vehicles over 11 feet tall will need to stop for assistance and/or be careful to follow signage.",2023-03-27 10:38:11.0,Shenandoah National Park
Ticket Required to Hike Old Rag,shen,March 1 - November 30 those wishing to hike Old Rag are required to purchase a day-use ticket before arriving.,2023-03-03 10:38:24.0,Shenandoah National Park
Riprap Boundary Access Closure,shen,Public access to the Riprap trail system at the park boundary via Wild Turkey Lane is no longer available due to private landowner concerns. Please use Skyline Drive to access this trail system.,2022-08-26 10:39:57.0,Shenandoah National Park
