Park Name,parkCode,Description,Directions,Address
Boston African American National Historic Site,boaf,"Centered on the north slope of Beacon Hill, the African American community of 1800s Boston led the city and the nation in the fight against slavery and injustice. These remarkable men and women, together with their allies, were leaders in the Abolition Movement, the Underground Railroad, the Civil War, and the early struggle for equal rights and education.","Site administrative offices are located at 15 State Street. However, Ranger programs begin at either the Robert Gould Shaw Memorial on Beacon Street, or at the Museum of African American History at 46 Joy Street on Beacon Hill.","15 State Street, Boston African American National Historical Site, , Boston, MA, 02109"
Boston Harbor Islands National Recreation Area,boha,". . . where you can walk a Civil War-era fort, visit historic lighthouses, explore tide pools, hike lush trails, camp under the stars, or relax while fishing, picnicking or swimming-all within reach of downtown Boston. Youth programs, visitor services, research, wildlife management, and more are coordinated on the park's 34 islands and peninsulas by the Boston Harbor Islands Partnership.","There are many ways to enjoy Boston Harbor Islands and many ways to get there. For more information on how to get to the park by ferry, car, or private boat, please visit www.bostonharborislands.org.","15 State Street, 4th Floor, , Boston, MA, 02109"
Boston National Historical Park,bost,"Discover how one city could be the Cradle of Liberty, site of the first major battle of American Revolution, and home to many who espoused that freedom can be extended to all.","Visitor Centers are located at Historic Faneuil Hall, 1 Faneuil Hall Sq, and the Charlestown Navy Yard, Building 5. Go to the Directions page for more detailed information.","Boston National Historical Park, 21 Second Ave, , Charlestown, MA, 02129"
Brices Cross Roads National Battlefield Site,brcr,"The Confederate victory at Brices Cross Roads was a significant victory for Major General Nathan Bedford Forrest, but its long term effect on the war proved costly for the Confederates. Brices Cross Roads is an excellent example of winning the battle, but losing the war.","Brices Cross Roads National Battlefield Site can be found 15 miles north of Tupelo, Mississippi. Exit U.S. Highway 45 onto Mississippi 370, in Baldwyn, Mississippi. The battlefield is located 6 miles west of Baldwyn, on Mississippi 370. Visitors may also consider visiting the Mississippi's Final Stands Interpretive Center in Baldwyn. Exit U.S. Highway 45 at Mississippi 370 and turn east. Take the first right off of Highway 370 to the interpretive center.","260 Bethany Rd, , , Guntown, MS, 38849"
Brown v. Board of Education National Historical Park,brvb,"The path to equality has been anything but smooth. It's taken courage and dedication by everyday people coming together for a common goal to carry the country toward true equality. Parents, teachers, secretaries, welders, ministers and students drove their communities, and the country along with them, toward justice in a series of often unsteady turns leading to the Brown v. Board Decision.","The park is located in downtown Topeka, Kansas at 1515 SE Monroe Street.","1515 SE Monroe Street, , , Topeka, KS, 66612-1143"
Bryce Canyon National Park,brca,"Hoodoos (irregular columns of rock) exist on every continent, but here is the largest concentration found anywhere on Earth. Situated along a high plateau at the top of the Grand Staircase, the park's high elevations include numerous life communities, fantastic dark skies, and geological wonders that defy description.",From the North: Take I-15 south to UT-20 (exit 95). Travel east on UT-20 to US-89. Follow US-89 south to UT-12. Travel east on UT-12 to UT-63. Take UT-63 south to Bryce Canyon NP. From the South through Zion National Park: Take I-15 north to UT-9 (exit 16). Follow UT-9 east through Zion National Park to US-89. Travel north on US-89 to UT-12. Go east on UT-12 to UT-63. Take UT-63 south to Bryce Canyon NP. From the East Travel west on UT-12 to UT-63. Take UT-63 south to Bryce Canyon NP.,"Highway 63, Bryce Canyon National Park, , Bryce, UT, 84764"
Buck Island Reef National Monument,buis,"Welcome to Buck Island! Before you come, please watch our 2014 Telly Award winning film ""Caribbean Gem."" Watching this will catch you up on 50+ years of National Park Service protection and civic engagement. Learn what we do every day to preserve this resource for Virgin Islanders and visitors alike. For the General Management Plan and Environmental Compliance, visit the News page.",Use one of our concessionaires to get to Buck Island!,"2100 Church St. #100, , , Christiansted, St. Croix, VI, 00820"
Buffalo National River,buff,"Established in 1972, Buffalo National River flows freely for 135 miles and is one of the few remaining undammed rivers in the lower 48 states. Once you arrive, prepare to journey from running rapids to quiet pools while surrounded by massive bluffs as you cruise through the Ozark Mountains down to the White River.","Buffalo National River is a long, narrow park that is crossed by three main highways. Highways 7, 43, and 62/65 are the main roads out of Harrison, Arkansas that will take you to the Buffalo River, depending on which part of the park you wish to visit. GPS systems are not reliable in this area so please call ahead for directions or pick up a map of the area beforehand.","170 Ranger Road, , , St. Joe, AR, 72675"
Cabrillo National Monument,cabr,"Climbing out of his boat and onto shore in 1542, Juan Rodriguez Cabrillo stepped into history as the first European to set foot on what is now the West Coast of the United States. In addition to telling the story of 16th century exploration, the park is home to a wealth of cultural and natural resources. Join us and embark on your own Voyage of Exploration.",FROM DOWNTOWN SAN DIEGO Take Harbor Drive past the airport Turn left onto Rosecrans Street Turn right onto Canon Street Turn left onto Catalina Blvd. (also known as Cabrillo Memorial Drive) Follow Catalina Blvd. all the way to the end,"1800 Cabrillo Memorial Drive, , , San Diego, CA, 92106"
California National Historic Trail,cali,"Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons.","Those portions of the California National Historic Trail authorized by Congress include nearly 2,000 miles of historic trail that was once the primary ""road"" taken by farmers, enterprising business managers, gold-seekers, and fortune hunters who chose to make a new life on the California frontier. The route passes through ten states from Missouri to California.","National Trails Office Regions 6|7|8, California National Historic Trail, 1100 Old Santa Fe Trail, Santa Fe, NM, 87505"
Camp Nelson National Monument,cane,The US Army established Camp Nelson as a fortified supply depot in April 1863. The site evolved into a massive recruitment and training center for African American soldiers (United States Colored Troops) and a refugee camp for their families. Camp Nelson served as a shelter for civilians fleeing war and for enslaved people hoping to secure their freedom and aid in the destruction of slavery.,"Camp Nelson National Monument is located along US 27 about 20 miles south of Lexington, Kentucky, 6 miles south of Nicholasville on US 27, and 16 miles north of Danville, KY on US 27. The Park entrance is on the original Danville Pike, adjacent to US 27, one mile north of the Camp Nelson National Cemetery.","6614 Danville Road Loop 2, , , Nicholasville, KY, 40356"
